Episode 452 finished after 25 timesteps, total rewards -20
Episode 453 finished after 25 timesteps, total rewards -19
Episode 454 finished after 16 timesteps, total rewards -7
Episode 455 finished after 25 timesteps, total rewards -23
Episode 456 finished after 25 timesteps, total rewards -19
Episode 457 finished after 25 timesteps, total rewards -24
Episode 458 finished after 25 timesteps, total rewards -21
Episode 459 finished after 25 timesteps, total rewards -23
Episode 460 finished after 25 timesteps, total rewards -22
Episode 461 finished after 25 timesteps, total rewards -24
Episode 462 finished after 25 timesteps, total rewards -22
Episode 463 finished after 25 timesteps, total rewards -23
Episode 464 finished after 25 timesteps, total rewards -23
Episode 465 finished after 25 timesteps, total rewards -25
Episode 466 finished after 25 timesteps, total rewards -24
Episode 467 finished after 25 timesteps, total rewards -24
Episode 468 finished after 25 timesteps, total rewards -18
Episode 469 finished after 25 timesteps, total rewards -24
Episode 470 finished after 25 timesteps, total rewards -21
Episode 471 finished after 25 timesteps, total rewards -23
Episode 472 finished after 25 timesteps, total rewards -19
Episode 473 finished after 25 timesteps, total rewards -22
Episode 474 finished after 25 timesteps, total rewards -24
Episode 475 finished after 25 timesteps, total rewards -23
Episode 476 finished after 25 timesteps, total rewards -25
Episode 477 finished after 6 timesteps, total rewards 2
Episode 478 finished after 8 timesteps, total rewards -1
Episode 479 finished after 25 timesteps, total rewards -24
Episode 480 finished after 25 timesteps, total rewards -23
Episode 481 finished after 25 timesteps, total rewards -22
Episode 482 finished after 25 timesteps, total rewards -21
Episode 483 finished after 25 timesteps, total rewards -21
Episode 484 finished after 25 timesteps, total rewards -22
Episode 485 finished after 15 timesteps, total rewards -5
Episode 486 finished after 8 timesteps, total rewards 1
Episode 487 finished after 14 timesteps, total rewards -5
Episode 488 finished after 25 timesteps, total rewards -23
Episode 489 finished after 25 timesteps, total rewards -24
Episode 490 finished after 3 timesteps, total rewards 3
Episode 491 finished after 22 timesteps, total rewards -14
Episode 492 finished after 25 timesteps, total rewards -22
Episode 493 finished after 25 timesteps, total rewards -22
Episode 494 finished after 25 timesteps, total rewards -24
Episode 495 finished after 25 timesteps, total rewards -23
Episode 496 finished after 25 timesteps, total rewards -24
Episode 497 finished after 25 timesteps, total rewards -21
Episode 498 finished after 25 timesteps, total rewards -22
Episode 499 finished after 25 timesteps, total rewards -22
Episode 500 finished after 25 timesteps, total rewards -23
Episode 501 finished after 25 timesteps, total rewards -23
Episode 502 finished after 25 timesteps, total rewards -21
Episode 503 finished after 25 timesteps, total rewards -22
Episode 504 finished after 25 timesteps, total rewards -23
Episode 505 finished after 25 timesteps, total rewards -19
Episode 506 finished after 25 timesteps, total rewards -21
Episode 507 finished after 25 timesteps, total rewards -24
Episode 508 finished after 25 timesteps, total rewards -24
Episode 509 finished after 25 timesteps, total rewards -20
Episode 510 finished after 25 timesteps, total rewards -20
Episode 511 finished after 25 timesteps, total rewards -24
Episode 512 finished after 1 timesteps, total rewards 5
Episode 513 finished after 24 timesteps, total rewards -16
Episode 514 finished after 25 timesteps, total rewards -24
Episode 515 finished after 11 timesteps, total rewards -4
Episode 516 finished after 22 timesteps, total rewards -13
Episode 517 finished after 25 timesteps, total rewards -22
Episode 518 finished after 25 timesteps, total rewards -21
Episode 519 finished after 25 timesteps, total rewards -20
Episode 520 finished after 25 timesteps, total rewards -23
Episode 521 finished after 25 timesteps, total rewards -23
Episode 522 finished after 25 timesteps, total rewards -18
